	# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario1.png	255	255	255
2	textures\mario-hold-shell-big.png	0	255	255
10	textures\mario_01.png	255	255	255
20	textures\misc.png	166	185	255
50	textures\enemies.png	3	26	110
30	textures\enemies-2.png	0	128	128
40	textures\special.png	255	255	255
60	textures\enemiesvip.png	255	255	255
70	textures\effects.png	255	255	255
999	textures\special2.png	255	255	255
80	textures\special3.png	255	255	255
21	textures\misc-2.png	0	117	255
33	textures\effect.png	176	224	248
52	textures\enemies-5.png	0	255	255
54	textures\enemies-5_2.png	0	255	255
# HOLD AND WALKING KOOPAS LEFT
11056	33	523	55	560	0
11057	2	523	25	560	0
# =========-----End BIG MARIO HAVE TAIL-------========

# EFFECT OF MARIO HAVE TAIL =========================
#=============TAIL HIT EFFECT=============
# right pink
15005	72	67	88	83	33
# right white
15006	13	299	29	315	33
# left pink
15007	40	299	56	315	33
# left white
15008	68	299	84	315	33
# ===============END EFFECT MARIO HAVE TAIL==============


# BIG MARIO
# idle right
10001	211	243	230	270	0
# walk
10002	251	243	271	270	0
10003	291	244	311	270	0
# idle left
10011	171	243	190	270	0
#walk
10012	131	243	151	270	0
10013	91	244	111	270	0
# sitting left
10050	11	240	30	266	0
# sitting right
10051	371	240	390	266	0
# stop right
10060	171	283	191	311	0
# stop left
10061	211	283	231	311	0
# fly right
10070	331	244	351	270	0
# fly left
10071	51	244	71	270	0
# running right
100001	213	323	232	350	0
100002	253	323	272	350	0
100003	293	324	312	350	0
# running left
100012	170	323	193	350	0
100013	130	323	153	350	0
100014	90	324	113	350	0
# flying when running right
100701	333	364	352	390	0
# flying when running left
100711	54	364	73	390	0
# KICK KOOPAS RIGHT
10008	252	283	273	311	0
# KICK KOOPAS LEFT
10009	133	283	154	311	0
# IDLE HOLD KOOPAS RIGHT
10052	325	323	345	360	0
# HOLD AND WALKING KOOPAS RIGHT
10053	351	323	371	360	0
10054	13	7	33	33	2
# IDLE HOLD KOOPAS LEFT
10055	55	323	75	360	0
# HOLD AND WALKING KOOPAS LEFT
10056	29	323	50	360	0
10057	42	7	64	33	2
#10057	29	323	50	360	0

# =========-----End BIG MARIO-------========


# die
10099	375	209	391	224	0
# SMALL MARIO
# idle small right
10021	217	89	229	104	0
# walk
10022	256	89	271	104	0
10023	255	169	271	185	0
# idle small left
10031	177	89	189	104	0
# walk
10032	135	89	150	104	0
10033	135	169	150	185	0
# stop right
10080	176	129	190	145	0
# stop left
10081	216	129	230	145	0
# fly right
10085	335	89	351	104	0
# fly left
10086	55	89	71	104	0
# running right
10040	215	169	231	184	0
10041	255	169	271	184	0
# running left
10042	175	169	191	184	0
10043	135	169	151	184	0
# flying when running right
100850	215	209	231	225	0
# flying when running left
100860	175	209	191	225	0
# HOLDING KOOPAS RIGHT
10044	336	169	350	185	10
10045	376	169	391	185	10
# HOLADING KOOPAS AND JUMPING RIGHT
10045	376	169	391	185	10
# HOLDING KOOPAS LEFT
10046	56	169	80	185	10
10047	15	169	30	185	10
# HOLDING KOOPAS AND JUMPING LEFT
10047	15	169	30	175	10
# =================-------end small mario-------=================

#QUESTION BRICK
20011	157	188	173	204	20
20012	176	188	192	204	20
20013	196	188	212	204	20
20014	215	188	231	204	20
# QUESTION BRICK UNAVAILABLE
20010	235	188	251	204	20
#BRICK
20001	254	188	270	204	20
20002	274	188	290	204	20
20003	309	144	325	160	20
#GOOMBA
# GOOMBA BROWN
#Walking
30001	65	4	81	20	60
30002	15	4	31	20	60
#die
30003	315	0	331	16	60
# BROWN GOOMBA SUPINE
30012	299	341	315	357	54


#GOOMBA HAVE WING RED
# Walking RED WITH WING
30004	213	47	233	71	60
30005	263	47	283	71	60
# JUMPING RED
30006	113	50	133	74	60
30007	263	47	283	71	60
# RED DIE
30008	313	50	331	66	60
# WALKING RED
30009	13	47	31	70	60
30010	63	47	81	70	60
# PARAGOOMBA SUPINE
30011	199	94	215	110	52

# Pipe Flower
# bong hoa nguoc CLOSE MOUTH len troi LEFT
80000	165	545	181	578	60
# bong hoa nguoc open mouth len troi LEFT
80001	65	545	81	578	60
# bong hoa nguoc close mouth xuong LEFT
80002	115	545	131	578	60
# bong hoa nguoc open mouth xuong LEFT
80003	15	545	31	578	60

# bong hoa nguoc close mouth len troi RIGHT
80004	215	545	231	578	60
# bong hoa nguoc open mouth len troi RIGHT
80005	315	545	331	578	60
# bong hoa nguoc close mouth xuong RIGHT
80006	265	545	281	578	60
# bong hoa nguoc open mouth xuong RIGHT
80007	365	545	381	578	60

# FIRE BULLET
50	174	658	182	666	60
51	154	658	162	666	60
52	134	658	142	666	60
53	114	657	122	666	60

#KOOPAS
#========== GREEN SHELL
#walk left
50001	165	99	181	125	60
50002	125	98	141	125	60
#walk right
50011	215	99	231	125	60
50012	255	98	271	125	60
# KOOPAS shell
50030	50	94	66	131	60
# shell MOVE
50032	15	96	31	120	60
50033	15	121	31	145	60
50034	15	146	31	170	60
# KOOPAS lac mai co cai chan
50035	82	93	102	119	60
50036	50	94	68	131	60
# KOOPAS lac cai mai
50037	48	94	66	131	60
50038	50	94	68	131	60
# KOOPAS overturned SHELL
50050	330	94	346	131	60
# KOOPAS overturned SHELL MOVING
50051	365	96	381	120	60
50052	365	121	381	145	60
50053	365	146	381	170	60
# KOOPAS overturned lac mai co cai chan
50055	296	93	312	131	60
50056	328	94	346	130	60
# KOOPAS overturned lac mai
50056	328	94	346	130	60
50057	330	94	346	130	60

#KOOPAS GREEN FLYING HAVE WING
# WALKING RIGHT
50003	295	149	311	175	60
50004	335	148	351	175	60
# WALKING LEFT
50013	85	149	101	175	60
50014	45	148	61	175	60
# FLYING RIGHT
50040	335	148	351	175	60
50041	215	148	231	175	60
# FLYING LEFT
50042	165	148	181	175	60
50043	45	148	61	175	60

#=========== RED SHELL
# WALKING RIGHT
50060	215	199	231	225	60
50061	255	198	271	225	60
# WALKING LEFT
50062	165	199	181	225	60
50063	125	198	141	225	60
# KOOPAS SHELL
50064	50	194	66	220	60
# SHELL MOVING
50065	15	197	31	229	60
50066	15	222	31	245	60
50067	15	247	31	270	60
# KOOPAS lac mai co cai chan
50068	48	194	66	220	60
50069	84	194	106	220	60
# KOOPAS lac cai mai
50070	48	194	66	220	60
50071	50	194	68	220	60
# KOOPAS overturned SHELL
50072	330	194	346	210	60
# KOOPAS overturned SHELL MOVE
50073	365	194	381	210	60
50074	365	219	381	235	60
50075	365	244	381	260	60
# KOOPAS overturned lac mai co cai chan
50076	296	193	312	220	60
50077	327	193	346	220	60
# KOOPAS overturned lac mai
50077	327	193	346	220	60
50078	332	193	346	220	60

#KOOPAS RED FLYING HAVE WING
# WALKING RIGHT
50005	295	249	311	275	60
50006	335	248	351	275	60
# WALKING LEFT
50015	85	249	101	275	60
50016	45	248	61	275	60
# FLYING RIGHT
50044	335	248	351	275	60
50045	215	248	231	275	60
# FLYING LEFT
50046	165	248	181	275	60
50047	45	248	61	275	60

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]

# ==== Item =========
50	10	100
51	11	100
52	12	100
53	13	100
54	14	100	15	100	16	100	17	100
57	22	100	23	100	24	100	25	100
# P-SWITCH
55	18	100	19	100
56	20	100
# ==== MARIO =========
#idle BIG right
400	10001	100
#idle BIG left
401	10011	100
#idle small right
402	10021	100
#idle small left
403	10031	100
#idle big have tail right
404	11001	100
#idle big have tail left
405	11005	100


#walk right big
500	10001	100	10002	100	10003	100
#walk left big
501	10011	100	10012	100	10013	100
#walk right small
502	10021	100	10022	100	10023	100
#walk left small
503	10031	100	10032	100	10033	100
#walk right big have tail
504	11001	100	11002	100	11003	100
#walk left big have tail
505	11005	100	11006	100	11007	100

#die
599	10099	100
#sitting big left	(BIG)
415	10050	100
#sitting big right	(BIG)
416	10051	100
#fly big right 	(BIG)
430	10070	100
#fly big left 	(BIG)
431	10071	100
# falling right	(BIG)
4300	10003	100
# falling left	(BIG)
4301	10013	100

#stop right 	(BIG)
450	10060	100
#stop left	(BIG)
451	10061	100
# running right		(BIG)
4321	100001	10	100002	10	100003	10
# running left		(BIG)
4322	100012	10	100013	10	100014	10
# flying when running right	(BIG)
4331	100701	100
# flying when running left	(BIG)
4332	100711	100
# KICK KOOPAS RIGHT		(BIG)
4325	10008	100
# KICK KOOPAS LEFT		(BIG)
4326	10009	100
# IDLE HOLD KOOPAS RIGHT	(BIG)
129	10052	100
# HOLD KOOPAS AND WALKING RIGHT	(BIG)
130	10052	100	10053	100	10054	100
# IDLE HOLD KOOPAS LEFT		(BIG)
131	10055	100
# HOLD KOOPAS AND WALKING LEFT	(BIG)
132	10055	100	10056	100	10057	100
# HOLDING KOOPAS AND JUMPING RIGHT	(BIG)
133	10054	100
# HODING KOOPAS AND JUMPING LEFT	(BIG)
134	10057	100
#==============END MARIO BIG=================

#sitting big left	(BIG_TAIL)
417	11012	100
#sitting big right	(BIG_TAIL)
418	11011	100
#fly big right 		(BIG_TAIL)
432	11016	100
#fly big left 		(BIG_TAIL)
433	11017	100
#stop right 		(BIG_TAIL)
452	11021	100
#stop left		(BIG_TAIL)
453	11022	100
# falling right		(BIG_TAIL)
4302	11031	100
# falling left		(BIG_TAIL)
4303	11032	100
# attacking right	(BIG_TAIL)
4311	11045	75	11046	75	11047	75	11048	75	11045	75
# attacking left	(BIG_TAIL)
4312	11041	75	11042	75	11043	75	11044	75	11041	75
# running right		(BIG_TAIL)
4323	110002	10	110003	10	110004	10
# running left		(BIG_TAIL)
4324	110006	10	110007	10	110008	10
# flying when running right	(BIG_TAIL)
4333	110211	100
# flying when running left	(BIG_TAIL)
4334	110221	100
# falling down slownly right
43020	110310	50	11003	50	11031	50
# falling down slownly left
43021	110320	50	11007	50	11032	50
# falling down slownly right  (mario tail up)
43022	110311	100
# falling down slownly left   (mario tail up)
43023	110321	100
# Keep jumping Higher when max running RIGHT
43024	110312	100	110311	100
# Keep jumping Higher when max running LEFT
43025	110322	100	110321	100
# KICK KOOPAS RIGHT		(BIG_TAIL)
43026	11008	100
# KICK KOOPAS LEFT		(BIG_TAIL)
43027	11009	100
# IDLE HOLD KOOPAS RIGHT	(BIG_TAIL)
125	11052	100
# HOLD KOOPAS AND WALKING RIGHT	(BIG_TAIL)
126	11052	100	11053	100	11054	100
# IDLE HOLD KOOPAS LEFT		(BIG_TAIL)
127	11055	100
# HOLD KOOPAS AND WALKING LEFT	(BIG_TAIL)
128	11055	100	11056	100	11057	100
# HOLDING KOOPAS AND JUMPING RIGHT	(BIG_TAIL)
135	11054	100
# HODING KOOPAS AND JUMPING LEFT	(BIG_TAIL)
136	11057	100
################### BIG FIRE  ########################

#idle big FIRE right
406	12001	100
#idle big FIRE 	left
407	12005	100

#walk right big have tail	(BIG_FIRE)
506	12001	100	12002	100	12003	100
#walk left big have tail	(BIG_FIRE)
507	12005	100	12006	100	12007	100

#sitting big left	(BIG_FIRE)
100	12012	100
#sitting big right	(BIG_FIRE)
101	12011	100
#fly big right 		(BIG_FIRE)
102	12016	100
#fly big left 		(BIG_FIRE)
103	12017	100
#stop right 		(BIG_FIRE)
104	12021	100
#stop left		(BIG_FIRE)
105	12022	100
# falling right		(BIG_FIRE)
106	12003	100
# falling left		(BIG_FIRE)
107	12007	100
# attacking right	(BIG_FIRE)
108	12041	75
# attacking left	(BIG_FIRE)
109	12043	75
# running right		(BIG_FIRE)
110	120002	10	120003	10	120004	10
# running left		(BIG_FIRE)
111	120006	10	120007	10	120008	10
# flying when running right	(BIG_FIRE)
112	120211	100
# flying when running left	(BIG_FIRE)
113	120221	100
# flying attack right		(BIG_FIRE)
114	120211	100	120310	100
# flying attack left		(BIG_FIRE)
115	120221	100	120320	100
# KICK KOOPAS RIGHT		(BIG_FIRE)
116	12008	100
# KICK KOOPAS LEFT		(BIG_FIRE)
117	12009	100
# IDLE HOLD KOOPAS RIGHT	(BIG_FIRE)
121	12052	100
# HOLD KOOPAS AND WALKING RIGHT	(BIG_FIRE)
122	12052	100	12053	100	12054	100
# IDLE HOLD KOOPAS LEFT		(BIG_FIRE)
123	12055	100
# HOLD KOOPAS AND WALKING LEFT	(BIG_FIRE)
124	12055	100	12056	100	12057	100
# HOLDING KOOPAS AND JUMPING RIGHT	(BIG_FIRE)
136	12054	100
# HODING KOOPAS AND JUMPING LEFT	(BIG_FIRE)
137	12057	100

#stop right 	(SMALL)
460	10080	100
#stop left	(SMALL)
461	10081	100
#fly big right 	(SMALL)
440	10085	100
#fly big left 	(SMALL)
441	10086	100
# running right	(SMALL)
510	10040	10	10041	10
# running left	(SMALL)
511	10042	10	10043	10
# flying when running right		(SMALL)
4400	100850	100
# flying when running left		(SMALL)
4410	100860	100




# ==== GOOMBA  =========
# walk
701	30001	100	30002	100
# die
702	30003	100
# BROWN GOOMBA DIE SUPINE
708	30012	100

#WALKING RED WITH WING
703	30004	100	30005	100
#FLYING Red
704	30007	200	30006	200
# RED DIE
705	30008	100
# RED WALKING WITH NO WING
706	30009	100	30010	100
# PARAGOOMBA DIE SUPINE
707	30011	100

# ==== KOOPAS  =========
# =============koopas have GREEN SHELL
#walk left
801	50001	100	50002	100
#walk right
802	50011	100	50012	100
#SHELL
803	50030	100
# SHELL MOVE
804	50032	100	50033	100	50034	100
# KOOPAS PRE REIVE 1 lac mai
805	50037	50	50038	50
# KOOPAS PRE REVIE 2 lac mai khong co cai chan
806	50035	50	50036	50
# overturned SHELL
807	50050	100
# KOOPAS overturned SHELL Move
808	50051	100	50052	100	50053	100
# KOOPAS OVERTURNED PRE REIVE 1 lac mai
809	50056	50	50057	50
# KOOPAS overturned SHELL HEALTH lac mai co cai chan
810	50056	100	50055	100

# ============ KOOPAS GREEN HAVE WING ============
#walk RIGHT
811	50003	100	50004	100
#walk LEFT
812	50013	100	50014	100
#FLYING RIGHT
813	50040	100	50041	100
#FLYING LEFT
814	50042	100	50043	100

# =============koopas have RED SHELL
#walk left
815	50062	100	50063	100
#walk right
816	50060	100	50061	100
#SHELL
817	50064	100
# SHELL MOVE
818	50065	100	50066	100	50067	100
# KOOPAS PRE REIVE 1
819	50068	50	50069	50
# KOOPAS PRE REVIE 2
820	50070	50	50071	50
# overturned SHELL
821	50072	100
# KOOPAS overturned SHELL Move
822	50073	100	50074	100	50075	100
# KOOPAS OVERTURNED PRE REIVE 1 lac mai
823	50077	50	50078	50
# KOOPAS overturned SHELL HEALTH lac mai co cai chan
824	50076	100	50077	100

# ============ KOOPAS RED HAVE WING ============
#walk RIGHT
825	50005	100	50006	100
#walk LEFT
826	50015	100	50016	100
#FLYING RIGHT
827	50044	100	50045	100
#FLYING LEFT
828	50046	100	50047	100


# ======= MONEY EFFECT =======
911	100	100
912	200	100
913	400	100
914	800	100
915	1000	100
916	2000	100
917	4000	100
918	8000	100

# ================PIECE BRICK EFFECT=============
920	73	30	74	30

# ==== BRICK =========
601	20001	100
602	20002	100
603	20003	100

# ==== QUESTION BRICK =========
1	20011	120	20012	120	20013	120	20014	120	20011	120
2	20010	100

#FLOWER
6	80000	100	80001	100
7	80001	100
8	80002	100	80003	100
9	80003	100
10	80004	100	80005	100
11	80005	100
12	80006	100	80007	100
13	80007	100
# BULLET
15	50	200	51	200	52	200	53	200
16	53	200	52	200	51	200	50	200
# FIRE EFFECT
17	70	100	71	100	72	100
# ====== TAIL HIT EFFECT ======
902	15005	10	15006	10	15007	10	15008	10	15006	10

# BOARD GAME SPRITES===================================
# FRAME BOARDGAME
1000	700	100
# NUMBER
1000	700	100
1001	701	100
1002	702	100
1044	745	100
1003	703	100
1004	704	100
1005	705	100
1006	706	100
1007	707	100
1008	708	100
1009	709	100
1010	710	100
1011	711	100
1012	712	100
1013	713	100
1014	714	100
1015	715	100
1016	716	100
1017	717	100
1018	718	100
1019	719	100
1020	720	100
1021	721	100
1022	722	100
1023	723	100
1024	724	100
1025	725	100
1026	726	100
1027	727	100
1028	728	100
1029	729	100
1030	730	100
1031	731	100
1032	732	100
1033	733	100
1034	734	100
1035	735	100

1040	740	100
1041	741	40	742	40
1042	743	100
1043	744	100

# id	ani1	ani2	ani3
#
[ANIMATION_SETS]
# MARIO
1	400	401	402	403	500	501	502	503	599 	415	416	430	431	450	451	460	461	440	441	404	405	504	505	417	418	432	433	452	453	4300	4301	4302	4303	4311	4312	510	511	4321	4322	4323	4324	4331	4332	4333	4334	4400	4410	43020	43021	43022	43023	506	507	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	406	407	43024	43025	116	117	43026	43027	4325	4326	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137
# BRICK
2	601	602	603
# GOOMBA
3	701	702	703	704	705	706	707	708
#KOOPAS
4	801	802	803	804	805	806	807	808	809	810	811	812	813	814	815	816	817	818	819	820	821	822	823	824	825	826	827	828
#Item
5	50	51	52	53	54	55	56	57
# FLOWER
6	6	7	8	9	10	11	12	13
# BULLET
7	15	16
# effect fire hit Something
8	17
# effect point
9	911	912	913	914	915	916	917	918
# EFFECT TAIL HIT SOMETHING
10	902
# QUESTION BRICK
11	1	2
# ELEMENT OF BOARDGAME
12	1000	1001	1002	1044	1003	1004	1005	1006	1007	1008	1009	1010	1011	1012	1013	1014	1015	1016	1017	1018	1019	1020	1021	1022	1023	1024	1025	1026	1027	1028	1029	1030	1031	1032	1033	1034	1035	1040	1041	1042	1043
# EFFECT PIECE OF BRICK
13	920
[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas,4 = Flower, 5 = Ground, 6 = ColorBox, 7 = Pipe, 8 = QuestionBrick, 9 = WeakBreak, 10 = CloundBrick, 11 = Item, 12 = Bullet, 13 = Effects
# MARIO
#0	2192	586	1
0	0	386	1
# KOOPAS
3	2400	368	4	2	1
# Bullet
#12	40	368	7
# Effect
#13	40	368	8

#GOOMBA
#2	240	384	1	1

# Ground
5	0	416	2	40	1
5	624	400	2	28	1
5	1152	416	2	22	1
5	1536	416	2	5	1
5	1584	416	2	35	1
5	2144	416	2	6	1
5	2304	416	2	31	1
5	2080	496	2	1	8
5	2096	624	2	8	1
5	2128	464	2	11	1
5	2224	608	2	1	1
5	2240	592	2	1	1
5	2256	576	2	1	1
5	2272	560	2	1	1
5	2288	544	2	1	1
5	2304	528	2	3	1
5	2352	496	2	1	2
	
# BRICK
1	1504	336	2	1	1
1	1520	336	2	1	1
1	1568	400	2	1	1
1	1584	400	2	1	1
1	1584	384	2	1	1
1	1600	400	2	1	1
1	1600	384	2	1	1
1	1600	368	2	1	1
1	1664	368	2	1	1
1	1664	384	2	1	1
1	1664	400	2	1	1
1	1680	384	2	1	1
1	1680	400	2	1	1
1	1696	400	2	1	1

1	2256	368	2	1	1
1	2272	368	2	1	1

1	2256	304	2	1	1
1	2272	304	2	1	1


# Weak Brick
9	1440	128	2	1	1
9	1952	400	2	1	1
9	1968	400	2	1	1
9	1968	384	2	1	1
9	1984	400	2	1	1
9	1984	384	2	1	1
9	1984	368	2	1	1
9	2000	400	2	1	1
9	2000	384	2	1	1
9	2000	368	2	1	1
9	2016	400	2	1	1
9	2016	384	2	1	1
9	2016	368	2	1	1
9	2032	400	2	1	1
9	2032	384	2	1	1
9	2032	368	2	1	1
9	2048	400	2	1	1

9	2096	400	2	1	1
9	2096	384	2	1	1
9	2112	400	2	1	1

# Cloud Brick
10	1407	191	2	4	1 	(CLOUD BOX)
10	1487	175	2	13	1 	(CLOUD BOX)

#Flower
4	360	384	6	3

# GOOMBA
#2	240	400	3
#2	544	400	3


# KOOPAS
#3	175	320	4	2	1
#3	300	310	4	2	1
# ColorBox
6	240	368	2	3	3 	(PINK BOX)
6	270	336	2	3	5 	(BLUE BOX)
6	400	368	2	5	3 	(GREEN BOX)
6	464	336	2	4	5 	(PINK BOX)
6	512	304	2	4	7 	(White Box)
6	512	384	2	6	2 	(GREEN BOX)
6	1264	384	2	7	2 	(GREEN BOX)

6	1312	144	2	4	2 	(PINK BOX)

6	1296	352	2	7	4 	(PINK BOX)
6	1328	326	2	7	6 	(BLUE BOX)

6	2144	368	2	3	3 	(PINK BOX)
6	2176	272	2	3	9 	(GREEN BOX)

# Green Pipe
7	352	368	2	2	3
7	1792	384	2	2	2
7	1856	368	2	2	3

7	2256	384	2	2	2

7	2256	112	2	2	12

7	2320	384	2	2	2

7	2096	480	2	2	1

7	2320	480	2	2	1

# Item
#11	175	332	5	1	1	1	1
# Question Brick
8	176	352	11	1	1	2
8	192	352	11	1	1	2
8	224	304	11	1	1	2
8	240	304	11	1	1	2
8	416	320	11	1	1	2
8	656	384	11	1	1	2
8	704	352	11	1	1	2
8	1472	368	11	1	1	2

#COIN
16	1073	320	5
16	1105	288	5
16	1137	256	5
16	1169	224	5
16	1201	192	5
16	1329	112	5
16	1345	112	5
16	1361	112	5
16	1473	112	5
16	1489	112	5
16	1537	128	5
16	1553	128	5
16	1569	128	5
16	1585	128	5
16	1617	112	5
16	1633	112	5
16	1649	112	5
16	1665	112	5
16	1697	144	5
16	1729	112	5
16	1761	128	5
16	1809	96	5
16	1841	128	5

# HIDDEN Map COin
16	2176	568	5
16	2176	504	5
16	2192	488	5
16	2192	536	5
16	2192	584	5
16	2208	488	5
16	2208	536	5
16	2208	584	5
16	2224	504	5
16	2224	520	5
16	2224	552	5
16	2224	568	5

# --- SCENE PORTAL ----
# type	l	t	ani_set_id	r	b	scene_id
#50	300	98	0	380	150	1

[TILEMAP]
12	textures\tilemap.png	textures\world1-1.txt	11	11	41	208	16	16	3328	740
#99999	textures\tileworld.png	textures\worldmap.txt	24	35	24	69	16	16	752	784
