	# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario1.png	255	255	255
2	textures\mario-hold-shell-big.png	0	255	255
10	textures\mario_01.png	255	255	255
20	textures\misc.png	166	185	255
50	textures\enemies.png	3	26	110
30	textures\enemies-2.png	0	128	128
40	textures\special.png	255	255	255
60	textures\enemiesvip.png	255	255	255
61	textures\fireball_right.png	0	255	255
70	textures\effects.png	255	255	255
999	textures\special2.png	255	255	255
80	textures\special3.png	255	255	255
21	textures\misc-2.png	0	117	255
33	textures\effect.png	176	224	248
52	textures\enemies-5.png	0	255	255
54	textures\enemies-5_2.png	0	255	255
57	textures\enemies-5_3.png	0	255	255
# HOLD AND WALKING KOOPAS RIGHT
12053	345	760	371	790	0
12054	115	1520	151	1550	0
# IDLE HOLD KOOPAS LEFT
12055	55	760	75	790	0
# HOLD AND WALKING KOOPAS LEFT
12056	29	760	50	790	0
12057	4	761	26	791	0
# MARIO GET INTO HIDDEN MAP
12058	6	723	41	750	0
# =========-----End BIG MARIO FIRE -------========


# BIG MARIO HAVE TAIL
# idle right
11001	208	441	233	471	0
# walk right
11002	259	441	284	471	0
11003	289	441	314	471	0
# idle left
11005	6	1	36	31	80
# walk left
11006	12	77	43	107	90
11007	84	441	116	471	0
# sitting left
11011	3	436	34	466	0
# sitting right
11012	369	436	394	466	0
# stop right
11016	168	482	191	512	0
# stop left
11017	208	482	231	512	0
# fly right
11021	329	440	354	470	0
# fly left
11022	44	440	75	470	0
# falling right
11031	209	601	234	631	0
# falling left
11032	164	601	195	631	0
# attack right
11045	234	441	259	471	0
11046	346	481	371	511	0
11047	6	2	38	32	999
11048	381	481	406	511	0
# attack left
11043	6	2	38	32	999
11042	346	481	371	511	0
11041	234	441	259	471	0
11044	381	481	406	511	0
# running right
110002	209	521	235	551	0
110003	249	521	275	551	0
110004	289	521	315	551	0
# running left
110006	162	521	195	551	0
110007	122	521	155	551	0
110008	51	79	84	108	90
# flying when running right
110211	291	601	315	631	0
# flying when running left
110221	84	603	115	631	0
# falling down slownly right (mario tail down)
110310	249	601	274	631	0
# falling down slownly left   (mario tail down)
110320	124	601	154	631	0
# falling down slownly right (mario tail up)
110311	331	601	355	631	0
# falling down slownly left   (mario tail up)
110321	44	601	75	631	0
# flying running TAIL middle right
110312	371	601	395	631	0
# flying running TAIL middle left
110322	4	601	35	631	0
# Kick KOOPAS RIGHT
11008	239	481	269	511	0
# Kick KOOPAS LEFT
11009	133	481	159	511	0
# IDLE HOLD KOOPAS RIGHT
11052	320	521	343	551	0
# HOLD AND WALKING KOOPAS RIGHT
11053	350	521	373	551	0
11054	381	521	404	551	0
# IDLE HOLD KOOPAS LEFT
11055	63	521	84	551	0
# HOLD AND WALKING KOOPAS LEFT
11056	33	521	55	551	0
11057	2	521	25	551	0
# MARIO GET INTO HIDDEN MAP
11058	25	483	55	511	0
# =========-----End BIG MARIO HAVE TAIL-------========

# EFFECT OF MARIO HAVE TAIL =========================
#=============TAIL HIT EFFECT=============
# right pink
15005	72	67	88	83	33
# right white
15006	13	299	29	315	33
# left pink
15007	40	299	56	315	33
# left white
15008	68	299	84	315	33
# ===============END EFFECT MARIO HAVE TAIL==============


# BIG MARIO
# idle right
10001	205	240	230	270	0
# walk
10002	245	240	271	270	0
10003	285	241	311	271	0
# idle left
10011	167	240	190	270	0
#walk
10012	126	240	151	270	0
10013	86	241	111	271	0
# sitting left
10050	7	236	30	266	0
# sitting right
10051	365	236	390	266	0
# stop right
10060	165	281	191	311	0
# stop left
10061	205	281	231	311	0
# fly right
10070	325	240	351	270	0
# fly left
10071	46	240	71	270	0
# running right
100001	206	320	232	350	0
100002	246	320	272	350	0
100003	286	321	312	351	0
# running left
100012	164	320	193	350	0
100013	124	320	153	350	0
100014	84	321	113	351	0
# flying when running right
100701	326	361	352	390	0
# flying when running left
100711	44	361	73	390	0
# KICK KOOPAS RIGHT
10008	243	280	273	310	0
# KICK KOOPAS LEFT
10009	129	280	154	310	0
# IDLE HOLD KOOPAS RIGHT
10052	319	320	345	350	0
# HOLD AND WALKING KOOPAS RIGHT
10053	345	320	371	350	0
10054	7	4	33	33	91
# IDLE HOLD KOOPAS LEFT
10055	55	320	75	350	0
# HOLD AND WALKING KOOPAS LEFT
10056	29	320	50	350	0
10057	15	1	37	30	90
#10057	42	4	64	33	91
# MARIO GET INTO HIDDEN MAP
10058	5	283	41	310	0
# =========-----End BIG MARIO-------========


# die
10099	375	209	391	224	0
# SMALL MARIO
# idle small right
10021	205	74	229	104	0
# walk
10022	246	75	271	105	0
10023	245	155	271	185	0
# idle small left
10031	167	74	189	104	0
# walk
10032	126	75	150	105	0
10033	127	155	151	185	0
# stop right
10080	204	115	230	145	0
# stop left
10081	168	115	190	145	0
# fly right
10085	325	75	351	105	0
# fly left
10086	46	75	71	105	0
# running right
10040	205	155	231	185	0
10041	245	155	271	185	0
# running left
10042	167	155	191	185	0
10043	127	155	151	185	0
# flying when running right
100850	205	209	231	225	0
# flying when running left
100860	165	209	191	225	0
# HOLDING KOOPAS RIGHT
10044	325	155	350	185	0
10045	366	155	391	185	0
# HOLDING KOOPAS LEFT
10046	45	155	70	185	0
10047	4	155	30	185	0
# HOLDING KOOPAS AND JUMPING LEFT
10047	15	169	30	175	10
# MARIO GET INTO HIDDEN MAP
10048	372	118	395	145	0
# =================-------end small mario-------=================

#QUESTION BRICK
20011	157	188	173	204	20
20012	176	188	192	204	20
20013	196	188	212	204	20
20014	215	188	231	204	20
# QUESTION BRICK UNAVAILABLE
20010	235	188	251	204	20
#BRICK
20001	254	188	270	204	20
20002	274	188	290	204	20
20003	309	144	325	160	20
#GOOMBA
# GOOMBA BROWN
#Walking
30001	65	4	81	20	60
30002	15	4	31	20	60
#die
30003	315	0	331	16	60
# BROWN GOOMBA SUPINE
30012	299	341	315	357	54


#GOOMBA HAVE WING RED
# Walking RED WITH WING
30004	213	47	233	71	60
30005	263	47	283	71	60
# JUMPING RED
30006	113	50	133	74	60
30007	263	47	283	71	60
# RED DIE
30008	313	50	331	66	60
# WALKING RED
30009	13	47	31	70	60
30010	63	47	81	70	60
# PARAGOOMBA SUPINE
30011	199	94	215	110	52

# Pipe Flower
#============= RED FLOWER WITH FIRE BULLET
# bong hoa nguoc CLOSE MOUTH len troi LEFT
80000	165	545	181	578	60
# bong hoa nguoc open mouth len troi LEFT
80001	65	545	81	578	60
# bong hoa nguoc close mouth xuong LEFT
80002	115	545	131	578	60
# bong hoa nguoc open mouth xuong LEFT
80003	15	545	31	578	60
# bong hoa nguoc close mouth len troi RIGHT
80004	215	545	231	578	60
# bong hoa nguoc open mouth len troi RIGHT
80005	315	545	331	578	60
# bong hoa nguoc close mouth xuong RIGHT
80006	265	545	281	578	60
# bong hoa nguoc open mouth xuong RIGHT
80007	365	545	381	578	60

#============= GREEN FLOWER WITH FIRE BULLET
# bong hoa nguoc CLOSE MOUTH len troi LEFT
80008	164	391	181	432	60
# bong hoa nguoc open mouth len troi LEFT
80009	64	391	81	432	60
# bong hoa nguoc close mouth xuong LEFT
80010	114	391	131	432	60
# bong hoa nguoc open mouth xuong LEFT
80011	14	391	31	432	60
# bong hoa nguoc close mouth len troi RIGHT
80012	214	391	231	432	60
# bong hoa nguoc open mouth len troi RIGHT
80013	314	391	331	432	60
# bong hoa nguoc close mouth xuong RIGHT
80014	264	391	281	432	60
# bong hoa nguoc open mouth xuong RIGHT
80015	364	391	381	432	60

# FIRE BULLET
50	4	4	12	12	61
51	17	4	25	12	61
52	4	19	12	27	61
53	18	19	26	27	61

# Piranha FLOWER
# GREEN FLOWER CLOSE MOUTH
80016	15	342	31	382	60
80017	65	342	81	382	60


#KOOPAS
#========== GREEN SHELL
#walk left
50001	165	99	181	125	60
50002	125	98	141	125	60
#walk right
50011	215	99	231	125	60
50012	255	98	271	125	60
# KOOPAS shell
50030	257	124	273	152	52
# shell MOVE
50032	278	124	294	151	52
50033	299	124	315	151	52
50034	258	185	274	203	52
# KOOPAS lac mai co cai chan
50035	74	116	92	143	52
50036	259	125	275	152	52
# KOOPAS lac cai mai
50037	255	125	273	154	52
50038	257	125	273	152	52
# KOOPAS overturned SHELL
50050	257	153	273	181	52
# KOOPAS overturned SHELL MOVING
50051	278	155	294	182	52
50052	299	155	315	182	52
50053	278	185	294	212	52
# KOOPAS overturned lac mai co cai chan
50055	297	184	317	212	52
50056	257	153	273	182	52
# KOOPAS overturned lac mai
50056	257	153	273	182	52
50057	255	153	273	182	52

#KOOPAS GREEN FLYING HAVE WING
# WALKING RIGHT
50003	295	149	311	175	60
50004	335	148	351	175	60
# WALKING LEFT
50013	85	149	101	175	60
50014	45	148	61	175	60
# FLYING RIGHT
50040	335	148	351	175	60
50041	215	148	231	175	60
# FLYING LEFT
50042	165	148	181	175	60
50043	45	148	61	175	60

#=========== RED SHELL
# WALKING RIGHT
50060	215	199	231	225	60
50061	255	198	271	225	60
# WALKING LEFT
50062	165	199	181	225	60
50063	125	198	141	225	60
# KOOPAS SHELL
50064	237	2	253	30	52
# SHELL MOVING
50065	258	2	274	29	52
50066	279	2	295	29	52
50067	249	229	265	257	52
# KOOPAS lac mai co cai chan
50068	235	2	253	30	52
50069	71	63	89	91	52
# KOOPAS lac cai mai
50070	235	2	253	30	52
50071	237	2	253	30	52
# KOOPAS overturned SHELL
50072	239	40	255	68	52
# KOOPAS overturned SHELL MOVE
50073	260	41	276	69	52
50074	281	41	297	69	52
50075	249	265	265	293	52
# KOOPAS overturned lac mai co cai chan
50076	278	83	296	111	52
50077	237	40	255	68	52
# KOOPAS overturned lac mai
50077	237	40	255	68	52
50078	239	40	255	68	52

#KOOPAS RED FLYING HAVE WING
# WALKING RIGHT
50005	295	249	311	275	60
50006	335	248	351	275	60
# WALKING LEFT
50015	85	249	101	275	60
50016	45	248	61	275	60
# FLYING RIGHT
50044	335	248	351	275	60
50045	215	248	231	275	60
# FLYING LEFT
50046	165	248	181	275	60
50047	45	248	61	275	60

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
## BLACK BACKGROUND



# ==== Item =========
50	10	100
51	11	100
52	12	100
53	13	100
54	14	100	15	100	16	100	17	100
57	22	100	23	100	24	100	25	100
# P-SWITCH
55	18	100	19	100
56	20	100

# END GAME Items
###### MUSHROOM
58	26	100
# flowre for fire mario
59	27	100
# START
60	28	100
# RANDOM ANIMATION
61	26	500	27	500	28	500
# green mushroom
62	29	100

# IDLE COIN
63	22	100

# MOVING WOOD
99	99	100

# ==== MARIO =========
#idle BIG right
400	10001	100
#idle BIG left
401	10011	100
#idle small right
402	10021	100
#idle small left
403	10031	100
#idle big have tail right
404	11001	100
#idle big have tail left
405	11005	100

#walk right big
500	10001	100	10002	100	10003	100
#walk left big
501	10011	100	10012	100	10013	100
#walk right small
502	10021	100	10022	100	10023	100
#walk left small
503	10031	100	10032	100	10033	100
#walk right big have tail
504	11001	100	11002	100	11003	100
#walk left big have tail
505	11005	100	11006	100	11007	100

#die
599	10099	100
#sitting big left	(BIG)
415	10050	100
#sitting big right	(BIG)
416	10051	100
#fly big right 	(BIG)
430	10070	100
#fly big left 	(BIG)
431	10071	100
# falling right	(BIG)
4300	10003	100
# falling left	(BIG)
4301	10013	100

#stop right 	(BIG)
450	10060	100
#stop left	(BIG)
451	10061	100
# running right		(BIG)
4321	100001	10	100002	10	100003	10
# running left		(BIG)
4322	100012	10	100013	10	100014	10
# flying when running right	(BIG)
4331	100701	100
# flying when running left	(BIG)
4332	100711	100
# KICK KOOPAS RIGHT		(BIG)
4325	10008	100
# KICK KOOPAS LEFT		(BIG)
4326	10009	100
# IDLE HOLD KOOPAS RIGHT	(BIG)
129	10052	100
# HOLD KOOPAS AND WALKING RIGHT	(BIG)
130	10052	100	10053	100	10054	100
# IDLE HOLD KOOPAS LEFT		(BIG)
131	10055	100
# HOLD KOOPAS AND WALKING LEFT	(BIG)
132	10055	100	10056	100	10057	100
# HOLDING KOOPAS AND JUMPING RIGHT	(BIG)
133	10054	100
# HODING KOOPAS AND JUMPING LEFT	(BIG)
134	10057	100
# MARIO GET INTO HIDDEN MAP (BIG)
4327	10058	100
#==============END MARIO BIG=================

#sitting big left	(BIG_TAIL)
417	11012	100
#sitting big right	(BIG_TAIL)
418	11011	100
#fly big right 		(BIG_TAIL)
432	11016	100
#fly big left 		(BIG_TAIL)
433	11017	100
#stop right 		(BIG_TAIL)
452	11021	100
#stop left		(BIG_TAIL)
453	11022	100
# falling right		(BIG_TAIL)
4302	11031	100
# falling left		(BIG_TAIL)
4303	11032	100
# attacking right	(BIG_TAIL)
4311	11045	75	11046	75	11047	75	11048	75	11045	75
# attacking left	(BIG_TAIL)
4312	11041	75	11042	75	11043	75	11044	75	11041	75
# running right		(BIG_TAIL)
4323	110002	10	110003	10	110004	10
# running left		(BIG_TAIL)
4324	110006	10	110007	10	110008	10
# flying when running right	(BIG_TAIL)
4333	110211	100
# flying when running left	(BIG_TAIL)
4334	110221	100
# falling down slownly right
43020	110310	50	11003	50	11031	50
# falling down slownly left
43021	110320	50	11032	50	11007	50
# falling down slownly right  (mario tail up)
43022	110311	100
# falling down slownly left   (mario tail up)
43023	110321	100
# Keep jumping Higher when max running RIGHT
43024	110312	100	110311	100
# Keep jumping Higher when max running LEFT
43025	110322	100	110321	100
# KICK KOOPAS RIGHT		(BIG_TAIL)
43026	11008	100
# KICK KOOPAS LEFT		(BIG_TAIL)
43027	11009	100
# IDLE HOLD KOOPAS RIGHT	(BIG_TAIL)
125	11052	100
# HOLD KOOPAS AND WALKING RIGHT	(BIG_TAIL)
126	11052	100	11053	100	11054	100
# IDLE HOLD KOOPAS LEFT		(BIG_TAIL)
127	11055	100
# HOLD KOOPAS AND WALKING LEFT	(BIG_TAIL)
128	11055	100	11056	100	11057	100
# HOLDING KOOPAS AND JUMPING RIGHT	(BIG_TAIL)
135	11054	100
# HODING KOOPAS AND JUMPING LEFT	(BIG_TAIL)
136	11057	100
# MARIO GET INTO HIDDEN MAP
43028	11058	100
################### BIG FIRE  ########################

#idle big FIRE right
406	12001	100
#idle big FIRE 	left
407	12005	100

#walk right big have tail	(BIG_FIRE)
506	12001	100	12002	100	12003	100
#walk left big have tail	(BIG_FIRE)
507	12005	100	12006	100	12007	100

#sitting big left	(BIG_FIRE)
100	12012	100
#sitting big right	(BIG_FIRE)
101	12011	100
#fly big right 		(BIG_FIRE)
102	12016	100
#fly big left 		(BIG_FIRE)
103	12017	100
#stop right 		(BIG_FIRE)
104	12021	100
#stop left		(BIG_FIRE)
105	12022	100
# falling right		(BIG_FIRE)
106	12003	100
# falling left		(BIG_FIRE)
107	12007	100
# attacking right	(BIG_FIRE)
108	12041	75
# attacking left	(BIG_FIRE)
109	12043	75
# running right		(BIG_FIRE)
110	120002	10	120003	10	120004	10
# running left		(BIG_FIRE)
111	120006	10	120007	10	120008	10
# flying when running right	(BIG_FIRE)
112	120211	100
# flying when running left	(BIG_FIRE)
113	120221	100
# flying attack right		(BIG_FIRE)
114	120211	100	120310	100
# flying attack left		(BIG_FIRE)
115	120221	100	120320	100
# KICK KOOPAS RIGHT		(BIG_FIRE)
116	12008	100
# KICK KOOPAS LEFT		(BIG_FIRE)
117	12009	100
# IDLE HOLD KOOPAS RIGHT	(BIG_FIRE)
121	12052	100
# HOLD KOOPAS AND WALKING RIGHT	(BIG_FIRE)
122	12052	100	12053	100	12054	100
# IDLE HOLD KOOPAS LEFT		(BIG_FIRE)
123	12055	100
# HOLD KOOPAS AND WALKING LEFT	(BIG_FIRE)
124	12055	100	12056	100	12057	100
# HOLDING KOOPAS AND JUMPING RIGHT	(BIG_FIRE)
137	12054	100
# HODING KOOPAS AND JUMPING LEFT	(BIG_FIRE)
138	12057	100
# MARIO GET INTO HIDDEN MAP
139	12058	100


#stop right 	(SMALL)
460	10080	100
#stop left	(SMALL)
461	10081	100
#fly big right 	(SMALL)
440	10085	100
#fly big left 	(SMALL)
441	10086	100
# running right	(SMALL)
510	10040	10	10041	10
# running left	(SMALL)
511	10042	10	10043	10
# flying when running right		(SMALL)
4400	100850	100
# flying when running left		(SMALL)
4410	100860	100
# GET INTO HIDDEN MAP
4411	10048	100
# SMALL IDLE HOLD KOOPAS RIGHT
4412	10044	100
# SMALL WALKING AND HOLD KOOPAS RIGHT
4413	10044	100	10045	100
# SMALL JUMP HOLD KOOPAS RIGHT
4414	10045	100
# SMALL IDLE HOLD KOOPAS LEFT
4415	10046	100
# SMALL WALKING AND HOLD KOOPAS LEFT
4416	10046	100	10047	100
# SMALL HOLD KOOPAS AND JUMP LEFT
4417	10047	100

# ==== GOOMBA  =========
# walk
701	30001	100	30002	100
# die
702	30003	100
# BROWN GOOMBA DIE SUPINE
708	30012	100

#WALKING RED WITH WING
703	30004	100	30005	100
#FLYING Red
704	30007	200	30006	200
# RED DIE
705	30008	100
# RED WALKING WITH NO WING
706	30009	100	30010	100
# PARAGOOMBA DIE SUPINE
707	30011	100

# ==== KOOPAS  =========
# =============koopas have GREEN SHELL
#walk left
801	50001	100	50002	100
#walk right
802	50011	100	50012	100
#SHELL
803	50030	100
# SHELL MOVE
804	50032	100	50033	100	50034	100
# KOOPAS PRE REIVE 1 lac mai
805	50037	50	50038	50
# KOOPAS PRE REVIE 2 lac mai khong co cai chan
806	50035	50	50036	50
# overturned SHELL
807	50050	100
# KOOPAS overturned SHELL Move
808	50051	100	50052	100	50053	100
# KOOPAS OVERTURNED PRE REIVE 1 lac mai
809	50056	50	50057	50
# KOOPAS overturned SHELL HEALTH lac mai co cai chan
810	50056	100	50055	100

# ============ KOOPAS GREEN HAVE WING ============
#walk RIGHT
811	50003	100	50004	100
#walk LEFT
812	50013	100	50014	100
#FLYING RIGHT
813	50040	100	50041	100
#FLYING LEFT
814	50042	100	50043	100

# =============koopas have RED SHELL
#walk left
815	50062	100	50063	100
#walk right
816	50060	100	50061	100
#SHELL
817	50064	100
# SHELL MOVE
818	50065	100	50066	100	50067	100
# KOOPAS PRE REIVE 1
819	50068	50	50069	50
# KOOPAS PRE REVIE 2
820	50070	50	50071	50
# overturned SHELL
821	50072	100
# KOOPAS overturned SHELL Move
822	50073	100	50074	100	50075	100
# KOOPAS OVERTURNED PRE REIVE 1 lac mai
823	50077	50	50078	50
# KOOPAS overturned SHELL HEALTH lac mai co cai chan
824	50076	100	50077	100

# ============ KOOPAS RED HAVE WING ============
#walk RIGHT
825	50005	100	50006	100
#walk LEFT
826	50015	100	50016	100
#FLYING RIGHT
827	50044	100	50045	100
#FLYING LEFT
828	50046	100	50047	100


# ======= MONEY EFFECT =======
911	100	100
912	200	100
913	400	100
914	800	100
915	1000	100
916	2000	100
917	4000	100
918	8000	100

# ================PIECE BRICK EFFECT=============
920	73	30	74	30

# ==== BRICK =========
601	20001	100
602	20002	100
603	20003	100

# ==== QUESTION BRICK =========
1	20011	120	20012	120	20013	120	20014	120	20011	120
2	20010	100

#FLOWER
6	80000	100	80001	100
7	80001	100
8	80002	100	80003	100
9	80003	100
10	80004	100	80005	100
11	80005	100
12	80006	100	80007	100
13	80007	100
# GREEN FLOWER
23	80008	100	80009	100
24	80009	100
25	80010	100	80011	100
26	80011	100
27	80012	100	80013	100
28	80013	100
29	80014	100	80015	100
30	80015	100
# PIRANHA FLOWER
31	80016	100	80017	100

# BULLET
15	50	200	51	200	52	200	53	200
16	53	200	52	200	51	200	50	200
# FIRE EFFECT
17	70	100	71	100	72	100
# ====== TAIL HIT EFFECT ======
902	15005	10	15006	10	15007	10	15008	10	15006	10

# BOARD GAME SPRITES===================================
# FRAME BOARDGAME
1000	700	100
# NUMBER
1000	700	100
1001	701	100
1002	702	100
1044	745	100
1003	703	100
1004	704	100
1005	705	100
1006	706	100
1007	707	100
1008	708	100
1009	709	100
1010	710	100
1011	711	100
1012	712	100
1013	713	100
1014	714	100
1015	715	100
1016	716	100
1017	717	100
1018	718	100
1019	719	100
1020	720	100
1021	721	100
1022	722	100
1023	723	100
1024	724	100
1025	725	100
1026	726	100
1027	727	100
1028	728	100
1029	729	100
1030	730	100
1031	731	100
1032	732	100
1033	733	100
1034	734	100
1035	735	100

1040	740	100
1041	741	40	742	40
1042	743	100
1043	744	100

#+++++++++++++++++++++++++++++++++++++++++++++PIPE
# short pipe
2300	23000	100
# medium pipe
2301	23010	100
# long pipe
2302	23020	100
# hidden pipe
2303	23030	100
#brick on pipe
2304	23040	100


# MARIO IN WORLD MAP
22995	1	100	2	100
22996	3	100	4	100
22997	5	100	6	100
22998	7	100	8	100
22999	9	100	10	100

5000	8001	100
5001	8002	100

5002	9000	100

# so 3 nhap nhay
5050	9050	100	9051	100	9052	100	9053	100

# cai man chao san
5060	9060	100

# ADVERTISEMENT
5061	9061	100

#=====================BOMERANG BROTHER
# RIGHT
# WALKING OR ATTACKING
150	8020	100	8021	100
# LEFT
# WALKING OR ATTACKING
151	8022	100	8023	100
# RIGHT PREPARING ATTACK
152	8024	100	8025	100
# LEFT PREPARING ATTACK
153	8026	100	8027	100

#.........WEAPON
# IDLE RIGHT
200	8031	100
# IDLE LEFT
201	8028	100

202	8028	300	8031	300	8030	300	8029	300


# id	ani1	ani2	ani3
#
[ANIMATION_SETS]
# MARIO
1	400	401	402	403	500	501	502	503	599 	415	416	430	431	450	451	460	461	440	441	404	405	504	505	417	418	432	433	452	453	4300	4301	4302	4303	4311	4312	510	511	4321	4322	4323	4324	4331	4332	4333	4334	4400	4410	43020	43021	43022	43023	506	507	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	406	407	43024	43025	116	117	43026	43027	4325	4326	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	4411	139	43028	4327	22995	22996	22997	22998	22999	4412	4413	4414	4415	4416	4417
# BRICK
2	601	602	603	2
# GOOMBA
3	701	702	703	704	705	706	707	708
#KOOPAS
